FLAG_NM,FLAG_VALUE,HLDY_AT,BOOK_TY_NM,EXAMIN_CO,NON_READ_RT,THIRTY_MNT_BELO_READ_RT,ONE_TIME_BELO_READ_RT,TWO_TIME_BELO_READ_RT,THREE_TIME_BELO_READ_RT,FOUR_TIME_BELO_READ_RT,FIVE_TIME_BELO_READ_RT,FIVE_TIME_ABOVE_READ_RT,AVRG_READ_MNT_VALUE
연령,고등1학년,N,오디오북,392,95.5,0.9,1.6,1.8,0.2,0,0,0,1.9
연령,고등2학년,N,오디오북,364,92.4,0.9,1.8,3,1.2,0.4,0,0.2,5.5
연령,고등3학년,N,오디오북,352,91.7,1.1,1.2,5.2,0.6,0.2,0,0,4.8
연령,초등4학년,Y,종이책,380,25.3,9.7,15.1,29.6,11.4,4.5,2,2.4,63.7
연령,초등5학년,Y,종이책,360,29.8,11.4,18.7,23.6,11.6,3.2,0.5,1.1,49.7
연령,초등6학년,Y,종이책,376,32,10.4,18.3,26.5,8.1,3.4,0.6,0.8,47
연령,중등1학년,Y,종이책,394,43.1,4.5,15.7,21.7,11,2.7,0.6,0.8,42.9
연령,중등2학년,Y,종이책,357,39.2,6.8,15.7,20.1,11.9,4.7,0.6,1.1,49.4
연령,중등3학년,Y,종이책,344,51.3,4.7,9.9,19.6,9.1,2.8,2,0.5,39.7
연령,고등1학년,Y,종이책,392,63.1,4.9,7.7,16.4,5.5,1.1,0.8,0.3,25.9
연령,고등2학년,Y,종이책,364,55.4,5.7,11,18.4,6,2.9,0.6,0,30
연령,고등3학년,Y,종이책,352,57.9,5,10.4,17.3,4.6,2.2,1.8,0.9,32.5
연령,초등4학년,Y,전자책,380,66.2,7.7,6.1,10.7,6.5,1.1,0.3,1.4,28.4
연령,초등5학년,Y,전자책,360,61.4,5,8.4,11.8,5.9,4.6,1.5,1.4,37.7
연령,초등6학년,Y,전자책,376,55.1,5.6,9.5,15.1,6.7,3.3,2,2.7,43.1
연령,중등1학년,Y,전자책,394,52.9,4.4,11.5,13.2,10,2.5,2.1,3.4,49.4
연령,중등2학년,Y,전자책,357,53.9,5.4,8.1,15.7,6.8,5.3,2.4,2.4,46
연령,중등3학년,Y,전자책,344,56.4,2.5,6.8,13.9,8.9,6.2,1.8,3.5,51.5
연령,고등1학년,Y,전자책,392,58.5,5.1,8.7,13.1,7.4,3.9,1.7,1.7,38.2
연령,고등2학년,Y,전자책,364,57.8,4.2,5.3,18.1,7,4.3,1.2,2,40
연령,고등3학년,Y,전자책,352,57.8,3.1,8.8,12.4,6.3,5.8,2.2,3.5,48.3
연령,초등4학년,Y,오디오북,380,78.1,5.8,6.1,6.3,2.5,0.3,0,0.9,15.7
연령,초등5학년,Y,오디오북,360,80.7,5.2,4.7,5.9,1.7,1.2,0,0.6,13.7
연령,초등6학년,Y,오디오북,376,85.9,3.4,4.1,3.6,2.3,0.6,0,0.3,9.2
연령,중등1학년,Y,오디오북,394,89.4,1.7,3,3,1.5,0.9,0,0.5,8
연령,중등2학년,Y,오디오북,357,93.6,0.9,1.9,3.1,0.2,0,0.2,0,3.7
연령,중등3학년,Y,오디오북,344,88.7,1.4,2.5,3.9,2.4,0.9,0.2,0,8.6
연령,고등1학년,Y,오디오북,392,94.5,0.7,2.1,1.8,0.2,0.2,0.2,0.3,4.2
연령,고등2학년,Y,오디오북,364,91.6,2,0.9,3.5,1.5,0.2,0.2,0.1,6
연령,고등3학년,Y,오디오북,352,90.1,0.7,2.3,4.4,1.8,0.2,0.2,0.3,7.6
